Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
09/01/2020,"9 ST BRIDGETS PLACE UPPER, PROSPECT HILL, GALWAY",,Galway,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"92 CITY GATE, ST AUGUSTINE ST, DUBLIN 8",Dublin 8,Dublin,"�243,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"92 SUMMERSTOWN RD, WILTON, CORK",,Cork,"�320,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"94 OAKTON PARK, BALLYBRACK, DUN LAOGHAIRE",,Dublin,"�435,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"ALTAN, 12 LOVE LANE, CHARLEVILLE",,Cork,"�175,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"AN ULLORD, 19 CASTLECOURT, CASTLECONNELL",,Limerick,"�262,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"Apartment 15, Sycamore Hall, Clay Farm",Dublin 18,Dublin,"�365,638.76",No,Yes,New Dwelling house /Apartment,
09/01/2020,"APT 10, BUTLER COURT, LOWER ORMOND QUAY DUBLIN 1",Dublin 1,Dublin,"�210,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"APT 1, KILTULLAGH NORTH, KILTULLAGH",,Galway,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"APT 2, CULTRA HOUSE, LOWER RD",,Cork,"�182,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"APT 404 RICHMOND COURT, RICHMOND COURT, MOUNT KENNETT COURT",,Limerick,"�97,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"APT 621 BLOCK D1  THE CUBES, BEACON SOUTH QUARTER, SANDYFORD",Dublin 18,Dublin,"�322,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"APT.11 -  AN DOIRIN, GREEN ST, DINGLE",,Kerry,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"BALLINAKILLBEG, BENNEKERRY, CARLOW",,Carlow,"�395,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"BALSCADDEN, RING COMMONS, DUBLIN",,Dublin,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"BROOKWELL, CASTLECRINE, SIXMILEBRIDGE",,Clare,"�200,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"CABRAGH, CLONDROHID, MACROOM",,Cork,"�70,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"CAMROSS, MOUNTRATH, LAOIS",,Laois,"�250,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"CARHUNAGRY, MULLAGH, ENNIS",,Clare,"�100,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"CLIGGIN, DOON, LIMERICK",,Limerick,"�81,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"COOLNABRONE, BORRIS, KILKENNY",,Kilkenny,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"CORAL COTTAGE, DRUMISKABOLE, BALLISODARE",,Sligo,"�168,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"DRUMNATINNEY, FALCARRAGH, DONEGAL",,Donegal,"�115,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"ENAGHROE, FEDAMORE, LIMERICK",,Limerick,"�307,500.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"GARRYPUFF, DUNDRUM, TIPPERARY",,Tipperary,"�179,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"GLEANN, SOOEY, SLIGO",,Sligo,"�22,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"GRACEFIELD, KILMALOGUE CROSS HOUSE, PORTARLINGTON",,Laois,"�35,242.00",No,Yes,New Dwelling house /Apartment,
09/01/2020,"GRIANAN, BALLINACURRA ROAD, LIMERICK",,Limerick,"�450,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"INNISCARRA, BALLYBRIDE RD, SHANKILL DUBLIN 18",Dublin 18,Dublin,"�700,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"KELLYSGROVE, BALLINASLOE, CO GALWAY",,Galway,"�45,300.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"Kilcasey Upper, Camolin",,Wexford,"�202,000.00",No,No,New Dwelling house /Apartment,
09/01/2020,"KILCOTRIM LANE, BORRIS, CO CARLOW",,Carlow,"�138,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"MAIN STREET, BALLINTRA, CO DONEGAL",,Donegal,"�60,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"MAIN STREET, MANORHAMILTON, CO LEITRIM",,Leitrim,"�100,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"POUND ST, BALLINGARRY, LIMERICK",,Limerick,"�55,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"RATHREAGH, GALMOY, CROSSATRICK",,Kilkenny,"�160,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"SIN E, NEWLANDS RD, DUBLIN 22",Dublin 22,Dublin,"�460,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"SNOWHILL, SNOWTOWN, NAUL",,Meath,"�410,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"TEMPLEMORE ROAD, CLOUGHJORDAN, CO TIPPERARY",,Tipperary,"�55,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2020,"VALLEY VIEW, FARRANLEA PARK, MODEL FARM RD",,Cork,"�1,020,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"1 Burgage Lane, Lusk",,Dublin,"�370,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"1 DRUMSHEEL, CONG, MAYO",,Mayo,"�149,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"1 MOOREFIELD DR, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"�220,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"10 ST CATHERINES NURSING HOME, BOHERBUI, NEWCASTLEWEST",,Limerick,"�315,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"105 JOLLY MARINER, COOSAN RD, ATHLONE",,Westmeath,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"106 BELGROVE PK MT PROPSECT LAWNS, MOUNT PROSPECT AVE CLONTARF, DUBLIN CITY",Dublin 15,Dublin,"�375,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 ARDMOR CLOSE, TALLAGHT, DUBLIN",Dublin 24,Dublin,"�205,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 EGMONT WOODS, KANTURK, CORK",,Cork,"�320,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 EMMET STREET, TIPPERARY TOWN, CO. TIPPERARY",,Tipperary,"�132,773.58",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 FAIRFIELDS CLOSE, ADAMSTOWN, WEXFORD",,Wexford,"�130,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 LISNAREE, STROKESTOWN, ROSCOMMON",,Roscommon,"�102,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"11 Rahillion Way, Donabate, Co. Dublin",,Dublin,"�511,014.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"111 cedar walk, castleoaks, dublin road",,Carlow,"�237,841.41",No,Yes,New Dwelling house /Apartment,
10/01/2020,"112 BEECHDALE, KILCOOLE, WICKLOW",,Wicklow,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"112 cedar walk, castleoaks, dublin road",,Carlow,"�237,841.41",No,Yes,New Dwelling house /Apartment,
10/01/2020,"115 BROOKWOOD AVE, ARTANE, DUBLIN 5",Dublin 5,Dublin,"�432,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"119 Longstone, Blessington Road, Cradockstown",,Kildare,"�341,675.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"12 CRAIGLANDS, ARDEEVIN RD, DALKEY",,Dublin,"�500,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"12 HAMPSTEAD PARK, SHANNON BANKS, CORBALLY",,Clare,"�135,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"12 KINGS COURT, MUNGRET ST, LIMERICK",,Limerick,"�110,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"12 THE CLOSE, RATHDALE, ENFIELD",,Meath,"�340,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"120 HOGAN HOUSE, LORETO ABBEY, RATHFARNHAM DUBLIN 14",Dublin 14,Dublin,"�345,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"121 ST MARY'S ROAD, EAST WALL, DUBLIN 3",Dublin 3,Dublin,"�387,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"13 BLACKWOOD CRESCENT, ONGAR CHASE, DUBLIN 15",Dublin 15,Dublin,"�555,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"13 GREENLODGE, MARYBOROUGH WOODS, DOUGLAS",,Cork,"�117,891.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"13 ROCHFORT MANOR, GRAIGUECULLEN, CARLOW",,Carlow,"�165,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"134 THE ACADEMY BUILDING POINT, PARK WEST DUBLIN 12, DUBLIN",Dublin 15,Dublin,"�134,132.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"14 Manor View, Roxborough Manor, Mulgannon",,Wexford,"�192,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"14 QUAY ST, SLIGO",,Sligo,"�255,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"141 WILLOW PARK, TULLOW RD, CARLOW",,Carlow,"�150,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"15 DEVALERAST, YOUGHAL, CO CORK",,Cork,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"15 PEMBROKE SQ, RINGSEND, DUBLIN 2",Dublin 4,Dublin,"�400,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"15 RAMLEH CLOSE, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,"�950,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"15 SERPENTINE AVE, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"�810,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"152 BRACKEN HILL, SANDYFORD, DUBLIN 18",Dublin 18,Dublin,"�300,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"153 LANSDOWNE PARK, BALLSBRIDGE, DUBLIN 4",Dublin 4,Dublin,"�1,010,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"16 ATHLUNKARD ST, LIMERICK, LIMERICK",,Limerick,"�100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"16 DISTLLERY QUAY, NAVAN, MEATH",,Meath,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"162 CHARLESLAND COURT, GREYSTONES, WICKLOW",,Wicklow,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"165 SKELLIG HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1",Dublin 1,Dublin,"�400,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"17 GARRISTOWN ORCHARD, GARRISTOWN",,Dublin,"�289,867.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"17 ST MARGARETS RD, MALAHIDE, DUBLIN",,Dublin,"�1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"18 ST FACHTNAS TERRACE, SKIBBEREEN, CORK",,Cork,"�80,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"18, Radharc na Suire, Knockboy",,Waterford,"�140,088.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/01/2020,"19 BARRETT ST, BAGENALSTOWN, CARLOW",,Carlow,"�85,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"19 Lyreen Place, Mariavilla, Maynooth",,Kildare,"�339,206.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"2 OAKFIELD RD, SLIGO, SLIGO",,Sligo,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"2 SOUTH POINT, PARNELL RD, BRAY",,Wicklow,"�310,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"2 TUR CHLUANA, CLOYNE, CORK",,Cork,"�285,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"2 WATERFIELD, OUGHTERARD, CO GALWAY",,Galway,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"20 PARKLANDS, ATHENRY, GALWAY",,Galway,"�210,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"20 WOODBINE WAY, PILLTOWN, ARDMORE",,Waterford,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"201 TUR UISCE, DOUGHISKA, GALWAY",,Galway,"�188,500.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"21 AN RADHARC, MARYBOROUGH RIDGE, DOUGLAS",,Cork,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"21 ELMCASTLE WALK, KILNAMANAGH, DUBLIN 24",Dublin 24,Dublin,"�325,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"21 MELVILLE PK, MEAKSTOWN, DUBLIN 11",Dublin 11,Dublin,"�245,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"211 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",Dublin 8,Dublin,"�331,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"23 CASTLEGATE STATION ROAD, PORTARLINGTON, CO. LAOIS",,Laois,"�187,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"23 KILTILLANE COURT, TEMPLEMORE, TIPPERARY",,Tipperary,"�150,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"23 KNOCKBRACK CLOSE MATTHEWS LANE, DROGHEDA, LOUTH",,Louth,"�190,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"23 PARKLANE GREEN, ABBEYSIDE, DUNGARVIN",,Waterford,"�205,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"23 SHANLISS WAY, SANTRY, DUBLIN 9",Dublin 9,Dublin,"�350,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"24 ALTMOUNT PARK, DUBLIN ROAD, CO KILKENNY",,Kilkenny,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"24 BROOKFIELD COURT, RICHMOND AVE SOUTH, DUBLIN 6",Dublin 6,Dublin,"�615,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"24 MULAN MOR, TUAM RD, GALWAY",,Galway,"�175,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"24 SWEET BRIAR LANE, KILMACUD, DUBLIN 14",Dublin 14,Dublin,"�600,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"24 The Grove, St. Marnock's Bay, Station Road",,Dublin,"�400,891.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"243 NEPTUNE HOUSE, BELLEVUE APTS, ISLANDBRIDGE",Dublin 8,Dublin,"�320,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"25 BALLSBRIDGE TERRACE, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"�985,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"25 KING VIEW GORTKESH OLDTOWN, CAVAN, CAVAN",,Cavan,"�95,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"25 Oak Park Avenue, Naas, County Kildare",,Kildare,"�348,017.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"25 SAINT PATRICK'S ROAD, GREENHILLS, DUBLIN 12",,Dublin,"�349,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"26 Clairville Lodge, Malahide",,Dublin,"�762,114.54",No,Yes,New Dwelling house /Apartment,
10/01/2020,"27 URSULINE COURT, WATERFORD, WATERFORD",,Waterford,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"276 THE SYCAMORES, EDENDERRY, CO OFFALY",,Offaly,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"28 CLONLIFFE AVE, DUBLIN 3, DUBLIN",Dublin 3,Dublin,"�275,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"28 JOHNSTON COURT, CHURCH ST, CAVAN",,Cavan,"�80,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"28 ROSBERCON COURT, LOWER ROSBERCON, NEW ROSS",,Wexford,"�63,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"28 THE GLEBE, AISLING COURT, KILLUCAN",,Westmeath,"�96,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"29 ROSEHILL, NEWPORT, TIPPERARY",,Tipperary,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 ARDAN, CUL FLIUCH, TOWER",,Cork,"�300,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 ASHGROVE LAWN, BALLINGARRANE, CLONMEL",,Tipperary,"�195,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 BELMONT GREEN, NEWBRIDGE, CO KILDARE",,Kildare,"�345,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 CLIFTON TERRACE, SEAPOINT AVE, MONKSTOWN",,Dublin,"�2,240,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 RACECOURSE LAWN, TRALEE, KERRY",,Kerry,"�73,333.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 Radharc Na Tuaithe, Gogganstown, Knockraha",,Cork,"�100,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"3 SPOUTWELL LANE, MULLINGAR, WESTMEATH",,Westmeath,"�48,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 ST EUNANS TCE, RAPHOE, DONEGAL",,Donegal,"�43,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 TALBOT RD, MALAHIDE, DUBLIN",,Dublin,"�520,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"3 THE GREEN, ROBERTSHILL, KILKENNY",,Kilkenny,"�196,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"30 DROMARD RD, DRIMNAGH, DUBLIN 12",Dublin 12,Dublin,"�347,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"30 FAIRHAVEN ROAD, CASTLEKNOCK ROAD, CASTLEKNOCK  DUBLIN 15.",Dublin 15,Dublin,"�549,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"30 LANSDOWNE VILLAGE, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"�605,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"30 PARK DR CLOSE, CASTLKNOCK DUBLIN 15, DUBLIN",Dublin 15,Dublin,"�418,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"31 INBHEAR SCEINE, KENMARE, KERRY",,Kerry,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"31 RAVENSWOOD, CREGG ROAD, CARRICK ON SUIR",,Tipperary,"�124,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"32 SOUTH GATE, CORK ST, DUBLIN 8",Dublin 8,Dublin,"�245,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"33 SLIABH BREAGH, ARDEE, LOUTH",,Louth,"�171,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"34 RIBH RD, ARTANE, DUBLIN 5",Dublin 5,Dublin,"�132,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"35 The Avenue, Westfield, Leixlip",,Kildare,"�528,635.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"35 The Strand, Marina Village, Greystones",,Wicklow,"�405,286.34",No,Yes,New Dwelling house /Apartment,
10/01/2020,"36 OAKFIELD DR, THURLES, TIPPERARY",,Tipperary,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"37 BRIAN RD, MARINO, DUBLIN 3",Dublin 3,Dublin,"�385,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"37 CHELMSFORD RD, RANELAGH, DUBLIN 6",Dublin 6,Dublin,"�1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"37 OAKLANDS AVE, SWORDS, DUBLIN",,Dublin,"�290,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"38 MELVILLE WAY, CITYSIDE, FINGLAS DUBLIN 11",Dublin 11,Dublin,"�202,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"38 ROWAN PARK, LETTERKENNY, DONEGAL",,Donegal,"�225,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"39 WELLPARK GROVE, WELLPARK, GALWAY",,Galway,"�325,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"4 BISHOPS COURT, TERMONFECKIN, LOUTH",,Louth,"�215,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"4 CAHERGAL AVE, BALLYVOLANE RD, CORK",,Cork,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"4 CREEVY RD, ROSCOMMON, CO. ROSCOMMON",,Roscommon,"�125,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"4 GLEANN BUI, BALLYMACODA, CORK",,Cork,"�173,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"4 Meadowbank Grove, Millers Glen, Swords",,Dublin,"�378,856.38",No,Yes,New Dwelling house /Apartment,
10/01/2020,"4 Radharc Na Tuaithe, Gogganstown, Knockraha",,Kildare,"�100,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"404 LE FANU RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"�242,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"44 CASTLE DRIVE, SWORDS, CO DUBLIN",,Dublin,"�300,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"45 RATH GAILINE, DUBLIN RD, PORTLAOISE",,Laois,"�230,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"49 BELMONT PLACE, COBH, CORK",,Cork,"�130,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"49 RAHEEN CLOSE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"�325,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"5 ANNAVILLE GROVE, DUNDRUM RD, DUBLIN 14",Dublin 14,Dublin,"�620,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"5 BYRNE AVE, PROSPECT, LIMERICK",,Limerick,"�100,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"5 EDEN PARK, LOUGHREA, GALWAY",,Galway,"�225,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"5 OWENRIFF PARK, OUGHTERARD, GALWAY",,Galway,"�505,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"5 Radharc Na Tuaithe, Gogganstown, Knockraha",,Cork,"�100,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"5 THE CEDARS, MONKSTOWN VALLEY, MONKSTOWN",,Dublin,"�386,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"51 HYBREASAL HOUSE, SOUTH CIRCULAR RD, KILMAINHAM DUBLIN 8",Dublin 8,Dublin,"�224,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"51 ST KILLIAN'S CRESCENT, CARLOW",,Carlow,"�140,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"52 ASHGROVE LAWN, CLONMEL, CO TIPPERARY",,Tipperary,"�210,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"52 KILDERRY HALL, ASHBOURNE, MEATH",,Meath,"�191,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"52 MC KEE RD, DUBLIN 11, DUBLIN",Dublin 11,Dublin,"�335,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"52 OAK GLADE HALL, NAAS, KILDARE",,Kildare,"�195,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"52 ST JOHNS WELL WAY, KILMAINHAM, DUBLIN 8",Dublin 8,Dublin,"�361,259.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"53 Cloghgarrett Abbey, Rathbride Road, Kildare",,Kildare,"�299,559.46",No,Yes,New Dwelling house /Apartment,
10/01/2020,"55 RED BARN, YOUGHAL, CORK",,Cork,"�110,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"56 COLLINS SQ, BENBURB ST, DUBLIN 7",Dublin 7,Dublin,"�264,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 BLOCK A CITYWEST, TALLAGHT BELFRY HALL, DUBLIN 24",Dublin 24,Dublin,"�197,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 CASTLE STREET, BALLYSHANNON, COUNTY DONEGAL",,Donegal,"�53,333.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 CHANTIERE GATE, PORTLAOISE, CO LAOIS",,Laois,"�395,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 GREEN MILL LANE, PORTLAOISE, CO LAOIS",,Laois,"�110,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 Radharc Na Tuaithe, Gogganstown, Knockraha",,Cork,"�100,000.00",No,Yes,New Dwelling house /Apartment,
10/01/2020,"6 THE SYCAMORES, NAAS, CO KILDARE",,Kildare,"�670,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"6 UPPER NEW ST, KILKENNY",,Kilkenny,"�332,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"60 ST MAELRUAN'S PARK, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"61 HOWTH RD, HOWTH, DUBLIN",Dublin 13,Dublin,"�650,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"61 SILVER QUAY, ATHLONE, WESTMEATH",,Westmeath,"�183,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2020,"63 CORKE ABBEY, BRAY, WICKLOW",,Dublin,"�378,000.00",No,No,Second-Hand Dwelling house /Apartment,
